C.D.S.  -  SIMBAD4 rel 1.8  -  2022.07.08CEST16:43:04

Distance.distance <   16 & Distance.unit = 'pc' & maintype != 'cor' & nbref   > 10
----------------------------------------------------------------------------------

Number of objects : 1568

 #  |            identifier             |typ|      coord1 (Gal,J2000/2000)      |#bib|#dist| distance Q unit|  err-        err+     | method |     reference     
518 |GJ 84                              |SB*|187.5160839785196 -70.5322542509237| 129|    1|    9.3199  pc  |  -0.0200     +0.0200  |paral   |2020yCat.1350....0G
519 |GJ 821                             |PM*|036.2364333828611 -36.5146512579158| 135|    1|   11.8427  pc  |  -0.0036     +0.0036  |paral   |2020yCat.1350....0G
520 |GJ 837                             |EB*|037.6006140604 -46.0133023018      | 264|    1|   11.6359  pc  |  -0.0450     +0.0450  |paral   |2020yCat.1350....0G
521 |GJ 1265                            |PM*|039.0794521559936 -52.5096371960447|  64|    1|   10.2379  pc  |  -0.0039     +0.0039  |paral   |2020yCat.1350....0G
522 |GJ 4274                            |Er*|040.6145670990545 -54.5569752122810|  85|    1|    7.2344  pc  |  -0.0025     +0.0025  |paral   |2020yCat.1350....0G
523 |2MASS J22521073-1730134            |BD*|045.9498734102300 -60.8772408968157|  45|    1|   16.5075  pc  |  -0.1619     +0.1619  |paral   |2020yCat.1350....0G
524 |LP 822-37                          |PM*|051.472878889 -64.905906231        |  15|    1| 6879.02    pc  |+394.872      +5       |ST-L    |2017AJ....153...75K
525 |GJ 898                             |PM*|058.3652155292834 -69.1179229825345| 131|    1|   14.5485  pc  |  -0.0057     +0.0057  |paral   |2020yCat.1350....0G
526 |GJ 1028                            |PM*|142.6360446213796 -80.4773768141927|  49|    1|    9.7768  pc  |  -0.0034     +0.0034  |paral   |2020yCat.1350....0G
527 |GJ 65 B                            |Er*|175.4885840357389 -75.6986707049320| 824|    1|    2.6749  pc  |  -0.0035     +0.0035  |paral   |2020yCat.1350....0G
528 |GJ 65 A                            |Er*|175.4871104218950 -75.6997325745757| 113|    1|    2.7195  pc  |  -0.0054     +0.0054  |paral   |2020yCat.1350....0G
529 |LP 768-113                         |LM*|171.0998151918972 -76.3506826145607|  46|    1|   14.715   pc  |  -0.0145     +0.0145  |ST-L    |2020AJ....160...83S
530 |GJ 71.0                            |PM*|173.1006757445964 -73.4397246835404|1173|    1|    3.6521  pc  |  -0.0022     +0.0022  |paral   |2020yCat.1350....0G
531 |G 272-118                          |PM*|177.7518090268097 -71.4370445673919|  18|    1|   15.2193  pc  |  -0.0068     +0.0068  |paral   |2020yCat.1350....0G
532 |GJ 3162                            |WD*|189.2879205373201 -63.1122255459332|  44|    1|   16.6708  pc  |  -0.0103     +0.0103  |paral   |2020yCat.1350....0G
533 |GJ 3189                            |PM*|193.5826326955624 -57.1360054111926|  42|    1|   11.4999  pc  |  -0.0046     +0.0046  |paral   |2020yCat.1350....0G
534 |GJ 117                             |RS*|192.0737382959485 -58.2540299187715| 486|    1|   10.3605  pc  |  -0.0027     +0.0027  |paral   |2020yCat.1350....0G
535 |GJ 4281                            |Er*|048.1258543070756 -54.0410751140314|  72|    1|   10.8887  pc  |  -0.0063     +0.0063  |paral   |2020yCat.1350....0G
536 |GJ 866                             |Er*|047.069636721 -56.979610304        | 294|    1|    3.4     pc  |                       |paral   |2010A&ARv..18...67T
537 |GJ 897                             |LM*|058.56948870 -69.05827238          |  73|    1|   12       pc  |                       |ST-L    |2006AJ....132..866R
538 |GJ 4352                            |PM*|061.8483804559822 -69.8260296876032|  48|    1|   13.140   pc  |  -0.0146     +0.0146  |ST-L    |2020AJ....160...83S
539 |2MASSI J2356547-155310             |BD*|071.78541470 -73.07799386          |  40|    1|   14.5     pc  |  -0.7        +0.7     |ST-L    |2009AJ....137....1F
540 |BPS CS 31060-0015                  |** |083.1211506138545 -76.6611134662292|  23|    1|   17.827   pc  |  -0.0295     +0.0295  |paral   |2020yCat.1350....0G
541 |GJ 1005                            |** |083.91904848 -76.20083943          | 122|    1|    4.99    pc  |  -0.23       +0.23    |ST-L    |2010MNRAS.403.1949K
542 |GJ 3053                            |PM*|115.4003558378087 -78.0488757719930| 111|    1|   14.9636  pc  |  -0.0107     +0.0107  |paral   |2020yCat.1350....0G
543 |G 272-10                           |PM*|152.2165324547697 -73.9716388465786|  16|    1|   15.6753  pc  |  -0.0092     +0.0092  |paral   |2020yCat.1350....0G
544 |DENIS J020529.0-115925             |BD*|175.4647074375381 -66.9635248624573| 144|    1|   20.2649  pc  |  -0.6684     +0.6684  |paral   |2020yCat.1350....0G
545 |GJ 816                             |PM*|042.8570071727050 -31.8181678664602|  81|    1|   14.774   pc  |  -0.0000     +0.0000  |ST-L    |2020AJ....160...83S
546 |WT 2203                            |PM*|043.8094394673813 -34.8443092411670|  11|    1|   32.1051  pc  |  -0.0794     +0.0794  |paral   |2020yCat.1350....0G
547 |GJ 852 A                           |Er*|052.2914648386018 -49.2707769052748|  88|    1|   11.051   pc  |  -0.0271     +0.0271  |paral   |2020yCat.1350....0G
548 |GJ 852 B                           |PM*|052.2880163964351 -49.2708429042480|  57|    1|   11.144   pc  |  -0.0167     +0.0167  |paral   |2020yCat.1350....0G
549 |LP 709-43                          |PM*|172.1351903343482 -63.9601419243805|  18|    1|   23.0994  pc  |  -0.0165     +0.0165  |paral   |2020yCat.1350....0G
550 |LP 699-32                          |PM*|051.9036925094930 -46.1814293071100|  14|    1|   15.364   pc  |  -0.0087     +0.0087  |paral   |2020yCat.1350....0G
551 |GJ 875                             |PM*|062.2437198946037 -54.9833015639272|  89|    1|   14.507   pc  |  -0.0041     +0.0041  |paral   |2020yCat.1350....0G
552 |GJ 1276                            |WD*|063.6415709045630 -55.4760426952453|  87|    1|    8.5368  pc  |  -0.0024     +0.0024  |paral   |2020yCat.1350....0G
553 |GJ 4355                            |WD*|078.0852901345035 -64.0425821051822|  42|    1|   18.663   pc  |  -0.0059     +0.0059  |paral   |2020yCat.1350....0G
554 |GJ 1002                            |PM*|092.4632878301376 -67.7246605502842| 189|    1|    4.8461  pc  |  -0.0011     +0.0011  |paral   |2020yCat.1350....0G
555 |GJ 1013                            |PM*|109.5215010836858 -68.2237545068481|  34|    1|   14.084   pc  |  -0.0132     +0.0132  |ST-L    |2020AJ....160...83S
556 |GJ 1012                            |PM*|107.0920871731689 -68.8319446410327|  54|    1|   13.385   pc  |  -0.0071     +0.0071  |paral   |2020yCat.1350....0G
557 |GJ 3119                            |Er*|159.6241279536179 -64.6530362357875|  46|    1|   10.5584  pc  |  -0.0055     +0.0055  |paral   |2020yCat.1350....0G
558 |2MASS J01443536-0716142            |BD*|157.7706999173502 -66.4775122920355|  44|    1|   12.7392  pc  |  -0.0804     +0.0804  |paral   |2020yCat.1350....0G
559 |G 75-35                            |PM*|177.0106548138295 -55.4231072167826|  31|    1|   12.3154  pc  |  -0.0067     +0.0067  |paral   |2020yCat.1350....0G
560 |GJ 849                             |PM*|055.8906028091158 -45.3991176646509| 252|    1|    8.8148  pc  |  -0.0023     +0.0023  |paral   |2020yCat.1350....0G
561 |GJ 4262                            |PM*|058.6173897252392 -44.4915276827926|  26|    1|   22.275   pc  |  -0.0309     +0.0309  |ST-L    |2020AJ....160...83S
562 |TRAPPIST-1                         |LM*|069.7127808375832 -56.6446053686932| 725|    1|   12.4669  pc  |  -0.0111     +0.0111  |paral   |2020yCat.1350....0G
563 |GR* 50                             |PM*|111.0215462435719 -67.0104372507267|  21|    1|   18.920   pc  |  -0.0356     +0.0356  |paral   |2020yCat.1350....0G
564 |GJ 1025                            |PM*|129.0551336898666 -67.2077591522872|  35|    1|   12.3781  pc  |  -0.0058     +0.0058  |paral   |2020yCat.1350....0G
565 |LP 647-13                          |PM*|134.3736408342560 -66.1857985066008|  40|    1|   10.5683  pc  |  -0.0226     +0.0226  |paral   |2020yCat.1350....0G
566 |GJ 64                              |WD*|151.6090455752724 -65.2424306105085| 170|    1|   12.6194  pc  |  -0.0029     +0.0029  |paral   |2020yCat.1350....0G
567 |LP 649-72                          |PM*|167.0093754221492 -59.5520985975140|  27|    1|   12.4914  pc  |  -0.0097     +0.0097  |paral   |2020yCat.1350....0G
568 |2MASS J02511490-0352459            |BD*|179.0944168443828 -53.1496538740788|  25|    1|   11.5884  pc  |  -0.0253     +0.0253  |paral   |2020yCat.1350....0G
569 |GJ 1263                            |PM*|056.3773362148120 -38.1320260094167|  64|    1|   12.3858  pc  |  -0.0079     +0.0079  |paral   |2020yCat.1350....0G
570 |GJ 4239                            |PM*|056.4647142516894 -41.2216924228654|  32|    1|   13.4734  pc  |  -0.0067     +0.0067  |paral   |2020yCat.1350....0G
571 |2MASSW J2224438-015852             |BD*|062.2120354246033 -46.8131674802688| 115|    1|   11.6075  pc  |  -0.0549     +0.0549  |paral   |2020yCat.1350....0G
572 |LP 642-48                          |** |078.5535639240501 -56.6577633589639|  30|    1|   40.954   pc  |  -0.5020     +0.5020  |paral   |2020yCat.1350....0G
573 |GJ 1285                            |Er*|081.4977359448954 -59.0481438158306|  54|    1|   34.927   pc  |  -0.0425     +0.0425  |paral   |2020yCat.1350....0G
574 |GJ 1286                            |PM*|083.2591615715552 -59.2541002901944|  79|    1|    7.1767  pc  |  -0.0022     +0.0022  |paral   |2020yCat.1350....0G
575 |V* DY Psc                          |BY*|107.3591106962894 -64.0237406269735| 197|    1|   12.446   pc  |  -0.0291     +0.0291  |paral   |2020yCat.1350....0G
576 |EGGR 561                           |WD*|116.8136206171406 -63.0986786250976|  33|    1|   54.831   pc  |  -0.0845     +0.0845  |paral   |2020yCat.1350....0G
577 |GJ 846                             |PM*|060.9958136628715 -40.2969798408397| 214|    1|   10.5749  pc  |  -0.0052     +0.0052  |paral   |2020yCat.1350....0G
578 |GJ 908                             |BY*|093.5636555512863 -56.8795946850741| 307|    1|    5.9096  pc  |  -0.0009     +0.0009  |paral   |2020yCat.1350....0G
579 |2MASS J01075242+0041563            |BD*|131.67948918 -61.89327788          |  49|    1|   16.9     pc  |  -3.3        +3.3     |ST-L    |2010AJ....139.1808S
580 |GJ 3093                            |PM*|139.4237671120682 -61.3306531998844|  17|    1|   15.2634  pc  |  -0.0231     +0.0231  |paral   |2020yCat.1350....0G
581 |GJ 3142                            |Er*|162.0797357334609 -56.5435412311873|  56|    1|   15.2687  pc  |  -0.0071     +0.0071  |paral   |2020yCat.1350....0G
582 |HD 15821                           |*  |167.8891367699538 -52.7648630049403|  12|    1|  162.766   pc  |  -0.5855     +0.5855  |paral   |2020yCat.1350....0G
583 |GJ 889.1                           |PM*|079.6213832593805 -50.6454243054769|  60|    1|   16.4838  pc  |  -0.0058     +0.0058  |paral   |2020yCat.1350....0G
584 |GJ 895.2                           |WD*|088.1711895358976 -51.9567815220531| 460|    1|   17.5248  pc  |  -0.0077     +0.0077  |paral   |2020yCat.1350....0G
585 |GJ 1007                            |PM*|107.1507854115626 -56.6869638772459|  28|    1|   17.8066  pc  |  -0.0109     +0.0109  |paral   |2020yCat.1350....0G
586 |2MASS J00345157+0523050            |BD*|115.29033685 -57.24082016          |  26|    1|    8.6     pc  |                       |ST-L    |2012ApJ...753..156K
587 |GJ 33                              |PM*|121.5131884923215 -57.5827180691598| 471|    1|    7.4352  pc  |  -0.0031     +0.0031  |paral   |2020yCat.1350....0G
588 |GJ 3071                            |** |128.0499117995673 -57.7011237426850|  64|    1|   22.4923  pc  |  -0.0650     +0.0650  |paral   |2020yCat.1350....0G
589 |GJ 1027                            |WD*|128.7080642751505 -57.6575210811574|  88|    1|   22.0171  pc  |  -0.0416     +0.0416  |paral   |2020yCat.1350....0G
590 |GJ 3078                            |PM*|132.5029738221622 -57.5863001530630|  31|    1|   15.4878  pc  |  -0.0088     +0.0088  |paral   |2020yCat.1350....0G
591 |GJ 3077                            |PM*|132.4805185786177 -57.5733058308723|  32|    1|   15.4627  pc  |  -0.0390     +0.0390  |paral   |2020yCat.1350....0G
592 |GJ 70                              |PM*|146.6265487027257 -56.1439194129854| 138|    1|   11.3243  pc  |  -0.0029     +0.0029  |paral   |2020yCat.1350....0G
593 |GJ 1041 B                          |SB*|153.6254478965036 -55.2611064324406|  22|    1|   23.865   pc  |  -0.0248     +0.0248  |paral   |2020yCat.1350....0G
594 |GJ 87                              |PM*|158.5023785782507 -53.6135411832272| 170|    1|   10.5086  pc  |  -0.0027     +0.0027  |paral   |2020yCat.1350....0G
595 |GJ 4231                            |V* |063.18785567 -35.70306501          |  58|    1|   14.6     pc  |  -2.7        +2.7     |ST-L    |2009ApJ...699..649S
596 |GJ 4279                            |PM*|071.8068479413208 -41.2869869129820|  23|    1|   13.759   pc  |  -0.0050     +0.0050  |paral   |2020yCat.1350....0G
597 |GJ 904                             |PM*|092.4638291004 -52.9639890154      | 599|    1|   13.6543  pc  |  -0.0316     +0.0316  |paral   |2020yCat.1350....0G
598 |2MASS J00464841+0715177            |BD*|120.8989112094470 -55.5985333903317|  17|    1|   37.773   pc  |  -0.3623     +0.3623  |paral   |2020yCat.1350....0G
599 |GJ 818                             |PM*|056.3837077428033 -25.5320286967493| 141|    1|   15.0461  pc  |  -0.0050     +0.0050  |paral   |2020yCat.1350....0G
600 |GJ 9773                            |PM*|070.1142393017183 -37.5336876276421|  61|    1|   15.9037  pc  |  -0.0056     +0.0056  |paral   |2020yCat.1350....0G
601 |GJ 863                             |PM*|075.5406355925406 -40.4276751799310| 103|    1|   12.9812  pc  |  -0.0036     +0.0036  |paral   |2020yCat.1350....0G
602 |G 28-46                            |** |085.206067490 -46.895400982        |  28|    1|   14       pc  |                       |ST-L    |2014AJ....147...20N
603 |GJ 4368                            |** |099.17885168 -50.09681987          |  37|    1|   20       pc  |                       |ST-L    |2014AJ....147...20N
604 |GJ 4363                            |Er*|098.7803120930663 -49.8389471103360|  35|    1|   31.9631  pc  |  -0.0551     +0.0551  |paral   |2020yCat.1350....0G
605 |GJ 1014                            |PM*|116.7013868586738 -52.2074530953376|  23|    1|   14.3949  pc  |  -0.0059     +0.0059  |paral   |2020yCat.1350....0G
606 |GJ 105 B                           |BY*|163.4668928142189 -47.5807246001749| 176|    1|    7.2235  pc  |  -0.0021     +0.0021  |paral   |2020yCat.1350....0G
607 |GJ 105 A                           |PM*|163.4021444776992 -47.5933884907450| 513|    1|    7.2285  pc  |  -0.0166     +0.0166  |paral   |2020yCat.1350....0G
608 |GJ 12                              |PM*|109.8306341725296 -48.4074294547494|  59|    1|   12.1664  pc  |  -0.0048     +0.0048  |paral   |2020yCat.1350....0G
609 |GJ 3128                            |LM*|149.9417285551849 -48.7843718571421|  50|    1|    9.2371  pc  |  -0.0049     +0.0049  |paral   |2020yCat.1350....0G
610 |GJ 4228                            |** |070.258682263 -30.357179379        |  25|    1|   14       pc  |                       |ST-L    |2014AJ....147...20N
611 |LP 522-46                          |WD*|093.3761274038679 -43.8139591736626|  28|    1|   23.5383  pc  |  -0.0620     +0.0620  |paral   |2020yCat.1350....0G
612 |LP 463-23                          |PM*|098.4045414068335 -42.9600378787799|  16|    1|   13.6783  pc  |  -0.0078     +0.0078  |paral   |2020yCat.1350....0G
613 |GJ 3076                            |LM*|130.023701604 -47.157052272        |  78|    1|    8       pc  |                       |ST-L    |2014AJ....147...20N
614 |GJ 83.1                            |Er*|147.6587529106730 -46.4913275833610| 259|    1|    4.4696  pc  |  -0.0013     +0.0013  |paral   |2020yCat.1350....0G
615 |GJ 3129                            |SB*|148.1836089695870 -45.7708371357921|  40|    1|   38.4092  pc  |  -0.0436     +0.0436  |paral   |2020yCat.1350....0G
616 |GJ 3146                            |Er*|152.4703880253033 -44.3517735413442|  50|    1|    9.0950  pc  |  -0.0058     +0.0058  |paral   |2020yCat.1350....0G
617 |GJ 120                             |PM*|166.0497134682280 -41.2921048491666|  41|    1|   16.3772  pc  |  -0.0089     +0.0089  |paral   |2020yCat.1350....0G
618 |GJ 880                             |PM*|087.0618449831533 -38.1904715997710| 264|    1|    6.8670  pc  |  -0.0012     +0.0012  |paral   |2020yCat.1350....0G
619 |LSPM J0036+1821                    |BD*|117.8937438913499 -44.3704459994896| 196|    1|    8.7356  pc  |  -0.0105     +0.0105  |paral   |2020yCat.1350....0G
